"Sales_Order #","Date","Day","Month","Year","Customer_Age","Age_Group","Customer_Gender","Country","State","Product_Category","Sub_Category","Product","Order_Quantity","Unit_Cost","Unit_Price","Profit","Cost","Revenue"
"000261289","44472","3","October","2021","34","Young Adults (25-34)","F","Australia","New South Wales","Bikes","Road Bikes","Road-250 Black, 44","4","713","1120","1628","2852","4480"
"000261290","44472","3","October","2021","46","Adults (35-64)","M","Australia","New South Wales","Bikes","Road Bikes","Road-750 Black, 48","4","713","1120","1628","2852","4480"
"000261291","44472","3","October","2021","30","Young Adults (25-34)","F","Germany","Hamburg","Bikes","Road Bikes","Road-250 Black, 44","1","713","1120","407","713","1120"
"000261292","44472","3","October","2021","36","Adults (35-64)","M","Australia","South Australia","Bikes","Road Bikes","Road-550-W Yellow, 48","1","713","1120","407","713","1120"
"000261293","44472","3","October","2021","38","Adults (35-64)","F","Australia","Victoria","Bikes","Road Bikes","Road-250 Red, 58","1","713","1120","407","713","1120"
"000261294","44472","3","October","2021","51","Adults (35-64)","M","United States","Washington","Bikes","Mountain Bikes","Mountain-100 Black, 48","1","713","1120","407","713","1120"
"000261295","44472","3","October","2021","52","Adults (35-64)","M","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-200 Silver, 38","1","713","1120","407","713","1120"
"000261296","44473","4","October","2021","21","Youth (<25)","F","United States","California","Bikes","Road Bikes","Road-550-W Yellow, 40","4","713","1120","1628","2852","4480"
"000261297","44473","4","October","2021","53","Adults (35-64)","M","France","Hauts de Seine","Bikes","Road Bikes","Road-250 Black, 58","4","713","1120","1628","2852","4480"
"000261298","44473","4","October","2021","29","Young Adults (25-34)","M","France","Nord","Bikes","Road Bikes","Road-150 Red, 48","2","713","1120","814","1426","2240"
"000261299","44473","4","October","2021","45","Adults (35-64)","F","United States","California","Bikes","Road Bikes","Road-750 Black, 52","2","713","1120","814","1426","2240"
"000261300","44473","4","October","2021","38","Adults (35-64)","M","United Kingdom","England","Bikes","Mountain Bikes","Mountain-200 Silver, 42","1","713","1120","407","713","1120"
"000261301","44473","4","October","2021","38","Adults (35-64)","M","United Kingdom","England","Bikes","Road Bikes","Road-250 Black, 52","1","713","1120","407","713","1120"
"000261302","44473","4","October","2021","54","Adults (35-64)","F","United Kingdom","England","Bikes","Road Bikes","Road-750 Black, 52","1","713","1120","407","713","1120"
"000261303","44474","5","October","2021","30","Young Adults (25-34)","M","United States","Washington","Bikes","Mountain Bikes","Mountain-200 Silver, 38","4","713","1120","1628","2852","4480"
"000261304","44474","5","October","2021","40","Adults (35-64)","M","Germany","Nordrhein-Westfalen","Bikes","Road Bikes","Road-250 Red, 58","1","713","1120","407","713","1120"
"000261305","44474","5","October","2021","47","Adults (35-64)","F","Australia","Victoria","Bikes","Road Bikes","Road-150 Red, 62","1","713","1120","407","713","1120"
"000261306","44475","6","October","2021","30","Young Adults (25-34)","F","United States","California","Bikes","Mountain Bikes","Mountain-500 Black, 48","4","713","1120","1628","2852","4480"
"000261307","44475","6","October","2021","37","Adults (35-64)","M","Australia","New South Wales","Bikes","Road Bikes","Road-350-W Yellow, 42","4","713","1120","1628","2852","4480"
"000261308","44475","6","October","2021","26","Young Adults (25-34)","F","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-200 Black, 46","3","713","1120","1221","2139","3360"
"000261309","44475","6","October","2021","32","Young Adults (25-34)","F","United States","Washington","Bikes","Mountain Bikes","Mountain-200 Black, 38","3","713","1120","1221","2139","3360"
"000261310","44475","6","October","2021","24","Youth (<25)","F","Australia","Victoria","Bikes","Road Bikes","Road-550-W Yellow, 40","2","713","1120","814","1426","2240"
"000261311","44475","6","October","2021","26","Young Adults (25-34)","M","Australia","Victoria","Bikes","Road Bikes","Road-750 Black, 52","1","713","1120","407","713","1120"
"000261312","44475","6","October","2021","29","Young Adults (25-34)","F","France","Hauts de Seine","Bikes","Mountain Bikes","Mountain-200 Silver, 46","1","713","1120","407","713","1120"
"000261313","44476","7","October","2021","43","Adults (35-64)","M","Australia","New South Wales","Bikes","Road Bikes","Road-150 Red, 52","4","713","1120","1628","2852","4480"
"000261314","44476","7","October","2021","32","Young Adults (25-34)","F","Australia","Queensland","Bikes","Mountain Bikes","Mountain-200 Silver, 42","3","713","1120","1221","2139","3360"
"000261315","44476","7","October","2021","36","Adults (35-64)","F","Australia","Queensland","Bikes","Road Bikes","Road-350-W Yellow, 44","3","713","1120","1221","2139","3360"
"000261316","44476","7","October","2021","46","Adults (35-64)","F","United States","California","Bikes","Road Bikes","Road-350-W Yellow, 48","2","713","1120","814","1426","2240"
"000261317","44476","7","October","2021","37","Adults (35-64)","F","Australia","New South Wales","Bikes","Road Bikes","Road-550-W Yellow, 38","1","713","1120","407","713","1120"
"000261318","44476","7","October","2021","41","Adults (35-64)","M","Australia","Queensland","Bikes","Road Bikes","Road-250 Black, 48","1","713","1120","407","713","1120"
"000261319","44476","7","October","2021","46","Adults (35-64)","M","United States","California","Bikes","Road Bikes","Road-150 Red, 52","1","713","1120","407","713","1120"
"000261320","44477","8","October","2021","35","Adults (35-64)","F","Canada","British Columbia","Bikes","Road Bikes","Road-750 Black, 52","4","713","1120","1628","2852","4480"
"000261321","44477","8","October","2021","41","Adults (35-64)","F","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-400-W Silver, 38","4","713","1120","1628","2852","4480"
"000261322","44477","8","October","2021","55","Adults (35-64)","M","Australia","Victoria","Bikes","Road Bikes","Road-350-W Yellow, 48","4","713","1120","1628","2852","4480"
"000261323","44477","8","October","2021","31","Young Adults (25-34)","F","Germany","Saarland","Bikes","Road Bikes","Road-250 Black, 44","3","713","1120","1221","2139","3360"
"000261324","44477","8","October","2021","41","Adults (35-64)","M","Australia","South Australia","Bikes","Road Bikes","Road-250 Black, 48","3","713","1120","1221","2139","3360"
"000261325","44477","8","October","2021","21","Youth (<25)","M","United States","California","Bikes","Road Bikes","Road-250 Black, 48","1","713","1120","407","713","1120"
"000261326","44477","8","October","2021","28","Young Adults (25-34)","F","United Kingdom","England","Bikes","Mountain Bikes","Mountain-200 Black, 46","1","713","1120","407","713","1120"
"000261327","44478","9","October","2021","27","Young Adults (25-34)","M","France","Loir et Cher","Bikes","Road Bikes","Road-750 Black, 52","3","713","1120","1221","2139","3360"
"000261328","44478","9","October","2021","43","Adults (35-64)","M","United Kingdom","England","Bikes","Road Bikes","Road-550-W Yellow, 48","2","713","1120","814","1426","2240"
"000261329","44478","9","October","2021","46","Adults (35-64)","M","France","Moselle","Bikes","Mountain Bikes","Mountain-200 Silver, 46","2","713","1120","814","1426","2240"
"000261330","44479","10","October","2021","38","Adults (35-64)","M","United Kingdom","England","Bikes","Road Bikes","Road-250 Black, 52","3","713","1120","1221","2139","3360"
"000261331","44479","10","October","2021","36","Adults (35-64)","F","United States","California","Bikes","Road Bikes","Road-650 Red, 62","1","713","1120","407","713","1120"
"000261332","44479","10","October","2021","45","Adults (35-64)","F","Australia","New South Wales","Bikes","Road Bikes","Road-550-W Yellow, 40","1","713","1120","407","713","1120"
"000261333","44479","10","October","2021","47","Adults (35-64)","F","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-500 Silver, 42","1","713","1120","407","713","1120"
"000261334","44480","11","October","2021","37","Adults (35-64)","F","Australia","South Australia","Bikes","Road Bikes","Road-350-W Yellow, 40","4","713","1120","1628","2852","4480"
"000261335","44480","11","October","2021","44","Adults (35-64)","F","Canada","British Columbia","Bikes","Mountain Bikes","Mountain-500 Black, 42","4","713","1120","1628","2852","4480"
"000261336","44480","11","October","2021","37","Adults (35-64)","F","Australia","New South Wales","Bikes","Road Bikes","Road-550-W Yellow, 38","3","713","1120","1221","2139","3360"
"000261337","44480","11","October","2021","26","Young Adults (25-34)","F","France","Moselle","Bikes","Road Bikes","Road-750 Black, 58","1","713","1120","407","713","1120"
"000261338","44480","11","October","2021","26","Young Adults (25-34)","M","Germany","Bayern","Bikes","Road Bikes","Road-250 Red, 48","1","713","1120","407","713","1120"
"000261339","44480","11","October","2021","28","Young Adults (25-34)","M","Australia","Tasmania","Bikes","Mountain Bikes","Mountain-200 Black, 42","1","713","1120","407","713","1120"
"000261340","44480","11","October","2021","35","Adults (35-64)","M","Australia","Tasmania","Bikes","Road Bikes","Road-350-W Yellow, 48","1","713","1120","407","713","1120"
"000261341","44481","12","October","2021","37","Adults (35-64)","M","Australia","Victoria","Bikes","Road Bikes","Road-550-W Yellow, 48","4","713","1120","1628","2852","4480"
"000261342","44481","12","October","2021","41","Adults (35-64)","M","Australia","New South Wales","Bikes","Road Bikes","Road-750 Black, 48","4","713","1120","1628","2852","4480"
"000261343","44481","12","October","2021","37","Adults (35-64)","M","United Kingdom","England","Bikes","Mountain Bikes","Mountain-500 Silver, 40","3","713","1120","1221","2139","3360"
"000261344","44481","12","October","2021","27","Young Adults (25-34)","M","United Kingdom","England","Bikes","Road Bikes","Road-750 Black, 48","2","713","1120","814","1426","2240"
"000261345","44481","12","October","2021","41","Adults (35-64)","M","Germany","Bayern","Bikes","Road Bikes","Road-650 Black, 52","2","713","1120","814","1426","2240"
"000261346","44481","12","October","2021","26","Young Adults (25-34)","F","Australia","New South Wales","Bikes","Road Bikes","Road-250 Red, 58","1","713","1120","407","713","1120"
"000261347","44481","12","October","2021","32","Young Adults (25-34)","F","France","Nord","Bikes","Road Bikes","Road-150 Red, 44","1","713","1120","407","713","1120"
"000261348","44481","12","October","2021","39","Adults (35-64)","F","Australia","Queensland","Bikes","Road Bikes","Road-350-W Yellow, 48","1","713","1120","407","713","1120"
"000261349","44481","12","October","2021","44","Adults (35-64)","F","Australia","New South Wales","Bikes","Road Bikes","Road-750 Black, 44","1","713","1120","407","713","1120"
"000261350","44481","12","October","2021","45","Adults (35-64)","M","United States","Washington","Bikes","Road Bikes","Road-150 Red, 56","1","713","1120","407","713","1120"
"000261351","44481","12","October","2021","53","Adults (35-64)","F","United Kingdom","England","Bikes","Road Bikes","Road-250 Black, 52","1","713","1120","407","713","1120"
"000261352","44481","12","October","2021","57","Adults (35-64)","M","Australia","Queensland","Bikes","Road Bikes","Road-550-W Yellow, 42","1","713","1120","407","713","1120"
"000261353","44482","13","October","2021","40","Adults (35-64)","M","Australia","Queensland","Bikes","Road Bikes","Road-250 Black, 48","4","713","1120","1628","2852","4480"
"000261354","44482","13","October","2021","50","Adults (35-64)","M","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-500 Black, 48","4","713","1120","1628","2852","4480"
"000261355","44482","13","October","2021","18","Youth (<25)","F","United States","Washington","Bikes","Road Bikes","Road-150 Red, 56","3","713","1120","1221","2139","3360"
"000261356","44482","13","October","2021","40","Adults (35-64)","F","Australia","New South Wales","Bikes","Road Bikes","Road-250 Black, 52","3","713","1120","1221","2139","3360"
"000261357","44482","13","October","2021","43","Adults (35-64)","M","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-200 Black, 42","3","713","1120","1221","2139","3360"
"000261358","44482","13","October","2021","32","Young Adults (25-34)","M","United States","Oregon","Bikes","Road Bikes","Road-750 Black, 52","2","713","1120","814","1426","2240"
"000261359","44482","13","October","2021","29","Young Adults (25-34)","M","Australia","South Australia","Bikes","Road Bikes","Road-350-W Yellow, 40","1","713","1120","407","713","1120"
"000261360","44482","13","October","2021","30","Young Adults (25-34)","M","Germany","Saarland","Bikes","Road Bikes","Road-650 Red, 52","1","713","1120","407","713","1120"
"000261361","44482","13","October","2021","31","Young Adults (25-34)","F","United States","California","Bikes","Mountain Bikes","Mountain-200 Black, 38","1","713","1120","407","713","1120"
"000261362","44482","13","October","2021","38","Adults (35-64)","M","United Kingdom","England","Bikes","Mountain Bikes","Mountain-200 Silver, 42","1","713","1120","407","713","1120"
"000261363","44482","13","October","2021","45","Adults (35-64)","M","Australia","South Australia","Bikes","Road Bikes","Road-750 Black, 44","1","713","1120","407","713","1120"
"000261364","44482","13","October","2021","47","Adults (35-64)","M","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-500 Silver, 52","1","713","1120","407","713","1120"
"000261365","44482","13","October","2021","55","Adults (35-64)","M","Australia","New South Wales","Bikes","Road Bikes","Road-750 Black, 44","1","713","1120","407","713","1120"
"000261366","44483","14","October","2021","37","Adults (35-64)","F","Australia","New South Wales","Bikes","Road Bikes","Road-550-W Yellow, 38","4","713","1120","1628","2852","4480"
"000261367","44483","14","October","2021","48","Adults (35-64)","F","Australia","New South Wales","Bikes","Road Bikes","Road-550-W Yellow, 38","3","713","1120","1221","2139","3360"
"000261368","44483","14","October","2021","45","Adults (35-64)","F","Australia","Victoria","Bikes","Road Bikes","Road-750 Black, 48","2","713","1120","814","1426","2240"
"000261369","44483","14","October","2021","28","Young Adults (25-34)","M","Australia","Queensland","Bikes","Mountain Bikes","Mountain-200 Silver, 42","1","713","1120","407","713","1120"
"000261370","44483","14","October","2021","31","Young Adults (25-34)","M","Germany","Bayern","Bikes","Road Bikes","Road-250 Red, 52","1","713","1120","407","713","1120"
"000261371","44483","14","October","2021","42","Adults (35-64)","F","Germany","Hessen","Bikes","Road Bikes","Road-650 Red, 62","1","713","1120","407","713","1120"
"000261372","44484","15","October","2021","41","Adults (35-64)","M","Australia","Queensland","Bikes","Road Bikes","Road-250 Black, 48","4","713","1120","1628","2852","4480"
"000261373","44484","15","October","2021","57","Adults (35-64)","M","Australia","New South Wales","Bikes","Road Bikes","Road-150 Red, 52","4","713","1120","1628","2852","4480"
"000261374","44484","15","October","2021","24","Youth (<25)","F","Australia","Tasmania","Bikes","Road Bikes","Road-550-W Yellow, 48","3","713","1120","1221","2139","3360"
"000261375","44484","15","October","2021","43","Adults (35-64)","F","United States","Washington","Bikes","Road Bikes","Road-150 Red, 62","3","713","1120","1221","2139","3360"
"000261376","44484","15","October","2021","27","Young Adults (25-34)","F","United Kingdom","England","Bikes","Mountain Bikes","Mountain-200 Silver, 38","1","713","1120","407","713","1120"
"000261377","44484","15","October","2021","29","Young Adults (25-34)","F","United Kingdom","England","Bikes","Road Bikes","Road-550-W Yellow, 38","1","713","1120","407","713","1120"
"000261378","44485","16","October","2021","46","Adults (35-64)","F","France","Val de Marne","Bikes","Mountain Bikes","Mountain-200 Black, 46","4","713","1120","1628","2852","4480"
"000261379","44485","16","October","2021","47","Adults (35-64)","M","United States","California","Bikes","Road Bikes","Road-650 Red, 60","4","713","1120","1628","2852","4480"
"000261380","44485","16","October","2021","36","Adults (35-64)","F","Australia","Queensland","Bikes","Road Bikes","Road-350-W Yellow, 44","3","713","1120","1221","2139","3360"
"000261381","44485","16","October","2021","42","Adults (35-64)","F","United States","Washington","Bikes","Road Bikes","Road-750 Black, 48","2","713","1120","814","1426","2240"
"000261382","44485","16","October","2021","47","Adults (35-64)","F","United States","Texas","Bikes","Road Bikes","Road-650 Red, 62","2","713","1120","814","1426","2240"
"000261383","44485","16","October","2021","28","Young Adults (25-34)","F","United Kingdom","England","Bikes","Mountain Bikes","Mountain-200 Black, 46","1","713","1120","407","713","1120"
"000261384","44485","16","October","2021","38","Adults (35-64)","F","United Kingdom","England","Bikes","Road Bikes","Road-250 Red, 44","1","713","1120","407","713","1120"
"000261385","44485","16","October","2021","46","Adults (35-64)","F","Germany","Saarland","Bikes","Road Bikes","Road-650 Red, 62","1","713","1120","407","713","1120"
"000261386","44485","16","October","2021","50","Adults (35-64)","M","United States","California","Bikes","Mountain Bikes","Mountain-200 Black, 46","1","713","1120","407","713","1120"
"000261387","44486","17","October","2021","30","Young Adults (25-34)","M","France","Seine Saint Denis","Bikes","Road Bikes","Road-250 Black, 48","4","713","1120","1628","2852","4480"
"000261388","44486","17","October","2021","45","Adults (35-64)","F","United States","Washington","Bikes","Road Bikes","Road-250 Black, 52","3","713","1120","1221","2139","3360"
"000261389","44486","17","October","2021","33","Young Adults (25-34)","M","Germany","Bayern","Bikes","Road Bikes","Road-150 Red, 62","2","713","1120","814","1426","2240"
"000261390","44486","17","October","2021","26","Young Adults (25-34)","F","Germany","Hessen","Bikes","Road Bikes","Road-250 Red, 58","1","713","1120","407","713","1120"
"000261391","44486","17","October","2021","27","Young Adults (25-34)","M","United States","California","Bikes","Mountain Bikes","Mountain-200 Silver, 38","1","713","1120","407","713","1120"
"000261392","44486","17","October","2021","46","Adults (35-64)","F","United States","California","Bikes","Road Bikes","Road-350-W Yellow, 48","1","713","1120","407","713","1120"
"000261393","44487","18","October","2021","51","Adults (35-64)","M","United States","Oregon","Bikes","Mountain Bikes","Mountain-200 Black, 38","4","713","1120","1628","2852","4480"
"000261394","44487","18","October","2021","27","Young Adults (25-34)","M","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-200 Black, 38","1","713","1120","407","713","1120"
"000261395","44487","18","October","2021","28","Young Adults (25-34)","F","Australia","Victoria","Bikes","Mountain Bikes","Mountain-200 Black, 42","1","713","1120","407","713","1120"
"000261396","44487","18","October","2021","28","Young Adults (25-34)","M","United States","California","Bikes","Mountain Bikes","Mountain-200 Black, 38","1","713","1120","407","713","1120"
"000261397","44487","18","October","2021","30","Young Adults (25-34)","F","United States","Washington","Bikes","Mountain Bikes","Mountain-200 Silver, 38","1","713","1120","407","713","1120"
"000261398","44487","18","October","2021","46","Adults (35-64)","F","United States","California","Bikes","Road Bikes","Road-350-W Yellow, 48","1","713","1120","407","713","1120"
"000261399","44487","18","October","2021","50","Adults (35-64)","M","Australia","Victoria","Bikes","Mountain Bikes","Mountain-500 Silver, 40","1","713","1120","407","713","1120"
"000261400","44488","19","October","2021","46","Adults (35-64)","M","United Kingdom","England","Bikes","Road Bikes","Road-750 Black, 58","4","713","1120","1628","2852","4480"
"000261401","44488","19","October","2021","28","Young Adults (25-34)","F","Australia","Queensland","Bikes","Mountain Bikes","Mountain-200 Black, 38","3","713","1120","1221","2139","3360"
"000261402","44488","19","October","2021","29","Young Adults (25-34)","M","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-200 Black, 46","3","713","1120","1221","2139","3360"
"000261403","44488","19","October","2021","56","Adults (35-64)","M","Australia","New South Wales","Bikes","Road Bikes","Road-550-W Yellow, 44","3","713","1120","1221","2139","3360"
"000261404","44488","19","October","2021","26","Young Adults (25-34)","M","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-400-W Silver, 46","2","713","1120","814","1426","2240"
"000261405","44488","19","October","2021","41","Adults (35-64)","F","Canada","British Columbia","Bikes","Mountain Bikes","Mountain-200 Black, 38","2","713","1120","814","1426","2240"
"000261406","44488","19","October","2021","45","Adults (35-64)","M","United States","Washington","Bikes","Road Bikes","Road-150 Red, 56","2","713","1120","814","1426","2240"
"000261407","44488","19","October","2021","29","Young Adults (25-34)","M","France","Hauts de Seine","Bikes","Mountain Bikes","Mountain-200 Black, 46","1","713","1120","407","713","1120"
"000261408","44488","19","October","2021","31","Young Adults (25-34)","F","United States","Washington","Bikes","Mountain Bikes","Mountain-200 Silver, 38","1","713","1120","407","713","1120"
"000261409","44488","19","October","2021","31","Young Adults (25-34)","M","Australia","Victoria","Bikes","Road Bikes","Road-550-W Yellow, 44","1","713","1120","407","713","1120"
"000261410","44488","19","October","2021","41","Adults (35-64)","M","Australia","Victoria","Bikes","Road Bikes","Road-250 Red, 58","1","713","1120","407","713","1120"
"000261411","44488","19","October","2021","51","Adults (35-64)","F","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-200 Silver, 42","1","713","1120","407","713","1120"
"000261412","44489","20","October","2021","26","Young Adults (25-34)","F","Australia","Queensland","Bikes","Mountain Bikes","Mountain-200 Silver, 38","3","713","1120","1221","2139","3360"
"000261413","44489","20","October","2021","30","Young Adults (25-34)","M","France","Essonne","Bikes","Road Bikes","Road-150 Red, 48","3","713","1120","1221","2139","3360"
"000261414","44489","20","October","2021","39","Adults (35-64)","M","United Kingdom","England","Bikes","Road Bikes","Road-150 Red, 44","2","713","1120","814","1426","2240"
"000261415","44489","20","October","2021","26","Young Adults (25-34)","F","France","Seine (Paris)","Bikes","Road Bikes","Road-250 Red, 58","1","713","1120","407","713","1120"
"000261416","44489","20","October","2021","27","Young Adults (25-34)","M","United Kingdom","England","Bikes","Road Bikes","Road-750 Black, 48","1","713","1120","407","713","1120"
"000261417","44489","20","October","2021","29","Young Adults (25-34)","F","United Kingdom","England","Bikes","Road Bikes","Road-550-W Yellow, 38","1","713","1120","407","713","1120"
"000261418","44489","20","October","2021","29","Young Adults (25-34)","M","Canada","British Columbia","Bikes","Road Bikes","Road-750 Black, 48","1","713","1120","407","713","1120"
"000261419","44489","20","October","2021","35","Adults (35-64)","F","Canada","British Columbia","Bikes","Road Bikes","Road-750 Black, 52","1","713","1120","407","713","1120"
"000261420","44489","20","October","2021","61","Adults (35-64)","M","United States","Washington","Bikes","Road Bikes","Road-250 Black, 48","1","713","1120","407","713","1120"
"000261421","44490","21","October","2021","28","Young Adults (25-34)","M","France","Seine (Paris)","Bikes","Mountain Bikes","Mountain-400-W Silver, 46","4","713","1120","1628","2852","4480"
"000261422","44490","21","October","2021","44","Adults (35-64)","F","Germany","Hessen","Bikes","Road Bikes","Road-650 Red, 60","3","713","1120","1221","2139","3360"
"000261423","44490","21","October","2021","57","Adults (35-64)","F","Australia","Victoria","Bikes","Road Bikes","Road-750 Black, 58","3","713","1120","1221","2139","3360"
"000261424","44490","21","October","2021","44","Adults (35-64)","M","Australia","South Australia","Bikes","Mountain Bikes","Mountain-200 Black, 42","2","713","1120","814","1426","2240"
"000261425","44490","21","October","2021","52","Adults (35-64)","M","United States","California","Bikes","Mountain Bikes","Mountain-200 Silver, 46","2","713","1120","814","1426","2240"
"000261426","44490","21","October","2021","61","Adults (35-64)","F","United States","California","Bikes","Road Bikes","Road-150 Red, 52","2","713","1120","814","1426","2240"
"000261427","44490","21","October","2021","23","Youth (<25)","M","Australia","New South Wales","Bikes","Road Bikes","Road-250 Black, 58","1","713","1120","407","713","1120"
"000261428","44490","21","October","2021","32","Young Adults (25-34)","F","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-400-W Silver, 40","1","713","1120","407","713","1120"
"000261429","44490","21","October","2021","32","Young Adults (25-34)","F","Australia","Victoria","Bikes","Mountain Bikes","Mountain-400-W Silver, 46","1","713","1120","407","713","1120"
"000261430","44490","21","October","2021","38","Adults (35-64)","F","United Kingdom","England","Bikes","Road Bikes","Road-150 Red, 56","1","713","1120","407","713","1120"
"000261431","44491","22","October","2021","30","Young Adults (25-34)","M","Germany","Bayern","Bikes","Road Bikes","Road-750 Black, 48","4","713","1120","1628","2852","4480"
"000261432","44491","22","October","2021","32","Young Adults (25-34)","M","Germany","Hamburg","Bikes","Road Bikes","Road-250 Black, 58","3","713","1120","1221","2139","3360"
"000261433","44491","22","October","2021","35","Adults (35-64)","M","Canada","British Columbia","Bikes","Road Bikes","Road-750 Black, 52","2","713","1120","814","1426","2240"
"000261434","44491","22","October","2021","25","Young Adults (25-34)","F","Canada","British Columbia","Bikes","Road Bikes","Road-250 Red, 52","1","713","1120","407","713","1120"
"000261435","44491","22","October","2021","32","Young Adults (25-34)","F","United States","California","Bikes","Mountain Bikes","Mountain-200 Silver, 46","1","713","1120","407","713","1120"
"000261436","44491","22","October","2021","37","Adults (35-64)","M","United Kingdom","England","Bikes","Road Bikes","Road-350-W Yellow, 40","1","713","1120","407","713","1120"
"000261437","44491","22","October","2021","45","Adults (35-64)","F","United States","California","Bikes","Road Bikes","Road-750 Black, 52","1","713","1120","407","713","1120"
"000261438","44492","23","October","2021","27","Young Adults (25-34)","F","Australia","South Australia","Bikes","Mountain Bikes","Mountain-200 Black, 46","1","713","1120","407","713","1120"
"000261439","44492","23","October","2021","29","Young Adults (25-34)","M","United Kingdom","England","Bikes","Road Bikes","Road-350-W Yellow, 48","1","713","1120","407","713","1120"
"000261440","44492","23","October","2021","36","Adults (35-64)","M","France","Hauts de Seine","Bikes","Road Bikes","Road-350-W Yellow, 44","1","713","1120","407","713","1120"
"000261441","44492","23","October","2021","42","Adults (35-64)","M","Australia","Victoria","Bikes","Mountain Bikes","Mountain-200 Silver, 46","1","713","1120","407","713","1120"
"000261442","44492","23","October","2021","42","Adults (35-64)","M","Australia","South Australia","Bikes","Mountain Bikes","Mountain-200 Black, 38","1","713","1120","407","713","1120"
"000261443","44492","23","October","2021","43","Adults (35-64)","M","France","Seine Saint Denis","Bikes","Road Bikes","Road-250 Black, 52","1","713","1120","407","713","1120"
"000261444","44492","23","October","2021","47","Adults (35-64)","F","Australia","Queensland","Bikes","Mountain Bikes","Mountain-200 Black, 46","1","713","1120","407","713","1120"
"000261445","44493","24","October","2021","19","Youth (<25)","M","Canada","British Columbia","Bikes","Road Bikes","Road-150 Red, 56","3","713","1120","1221","2139","3360"
"000261446","44493","24","October","2021","27","Young Adults (25-34)","F","France","Loiret","Bikes","Road Bikes","Road-750 Black, 48","3","713","1120","1221","2139","3360"
"000261447","44493","24","October","2021","27","Young Adults (25-34)","F","United Kingdom","England","Bikes","Road Bikes","Road-350-W Yellow, 48","2","713","1120","814","1426","2240"
"000261448","44493","24","October","2021","41","Adults (35-64)","F","Canada","British Columbia","Bikes","Mountain Bikes","Mountain-200 Black, 38","2","713","1120","814","1426","2240"
