invoice_code,customer_code,product_code,client_code,invoice_date,product_price,product_cost,sold_quantity,sub_total,discount,net_sales,tax_amount,total_amount,net_profit_or_gross_amount,net_cash_flow
2026-10-02_1017,1,1062,4000,2026-09-02,60.0,47.0,7,420.0,0.0,420.0,42.0,462.0,91.0,91.0
2026-09-15_1018,31,1053,4000,2026-08-16,65.0,49.0,4,260.0,0.0,260.0,26.0,286.0,64.0,64.0
2026-09-15_1018,31,1012,4000,2026-08-16,89.0,57.0,9,801.0,0.0,801.0,80.1,881.1,288.0,288.0
2026-09-15_1018,31,1001,4000,2026-08-16,100.0,86.0,4,400.0,0.0,400.0,40.0,440.0,56.0,56.0
2026-09-26_1019,1,1062,4000,2026-08-27,60.0,47.0,3,180.0,0.0,180.0,18.0,198.0,39.0,39.0
2026-09-26_1019,1,1018,4000,2026-08-27,81.0,54.0,1,81.0,0.0,81.0,8.1,89.1,27.0,27.0
2026-09-26_1019,1,1007,4000,2026-08-27,81.0,54.0,7,567.0,0.0,567.0,56.7,623.7,189.0,189.0
2026-09-30_1020,3,1092,4000,2026-08-31,51.0,14.0,8,408.0,0.0,408.0,40.8,448.8,296.0,296.0
2026-09-30_1020,3,1084,4000,2026-08-31,77.0,45.0,9,693.0,0.0,693.0,69.3,762.3,288.0,288.0
2026-09-30_1020,3,1044,4000,2026-08-31,83.0,49.0,4,332.0,0.0,332.0,33.2,365.2,136.0,136.0
2026-09-28_1021,30,1095,4000,2026-08-29,98.0,88.0,4,392.0,0.0,392.0,39.2,431.2,40.0,40.0
2026-09-28_1021,30,1014,4000,2026-08-29,74.0,59.0,7,518.0,0.0,518.0,51.8,569.8,105.0,105.0
2026-09-28_1021,30,1093,4000,2026-08-29,55.0,22.0,1,55.0,0.0,55.0,5.5,60.5,33.0,33.0
2026-09-27_1022,19,1085,4000,2026-08-28,83.0,46.0,3,249.0,0.0,249.0,24.9,273.9,111.0,111.0
2026-09-27_1022,19,1041,4000,2026-08-28,82.0,49.0,1,82.0,0.0,82.0,8.2,90.2,33.0,33.0
2026-09-27_1022,19,1082,4000,2026-08-28,77.0,60.0,2,154.0,0.0,154.0,15.4,169.4,34.0,34.0
2026-10-02_1023,11,1074,4000,2026-09-02,88.0,74.0,8,704.0,0.0,704.0,70.4,774.4,112.0,112.0
2026-10-02_1023,11,1030,4000,2026-09-02,58.0,46.0,2,116.0,0.0,116.0,11.6,127.6,24.0,24.0
2026-10-02_1023,11,1007,4000,2026-09-02,81.0,54.0,1,81.0,0.0,81.0,8.1,89.1,27.0,27.0
2026-09-27_1024,14,1009,4000,2026-08-28,60.0,30.0,1,60.0,0.0,60.0,6.0,66.0,30.0,30.0
2026-09-27_1024,14,1068,4000,2026-08-28,86.0,72.0,7,602.0,0.0,602.0,60.2,662.2,98.0,98.0
2026-09-27_1024,14,1020,4000,2026-08-28,74.0,37.0,2,148.0,0.0,148.0,14.8,162.8,74.0,74.0
2026-09-26_1025,37,1074,4000,2026-08-27,88.0,74.0,2,176.0,0.0,176.0,17.6,193.6,28.0,28.0
2026-09-26_1025,37,1048,4000,2026-08-27,55.0,37.0,8,440.0,0.0,440.0,44.0,484.0,144.0,144.0
2026-09-26_1025,37,1042,4000,2026-08-27,59.0,31.0,2,118.0,0.0,118.0,11.8,129.8,56.0,56.0
2026-09-25_1026,46,1028,4000,2026-08-26,53.0,27.0,1,53.0,0.0,53.0,5.3,58.3,26.0,26.0
2026-09-25_1026,46,1082,4000,2026-08-26,77.0,60.0,9,693.0,0.0,693.0,69.3,762.3,153.0,153.0
2026-09-25_1026,46,1068,4000,2026-08-26,86.0,72.0,7,602.0,0.0,602.0,60.2,662.2,98.0,98.0
2026-09-23_1027,3,1018,4000,2026-08-24,81.0,54.0,10,810.0,0.0,810.0,81.0,891.0,270.0,270.0
2026-09-23_1027,3,1088,4000,2026-08-24,82.0,58.0,8,656.0,0.0,656.0,65.6,721.6,192.0,192.0
2026-09-23_1027,3,1072,4000,2026-08-24,77.0,45.0,2,154.0,0.0,154.0,15.4,169.4,64.0,64.0
2026-09-14_1028,6,1055,4000,2026-08-15,51.0,14.0,6,306.0,0.0,306.0,30.6,336.6,222.0,222.0
2026-09-14_1028,6,1070,4000,2026-08-15,68.0,57.0,4,272.0,0.0,272.0,27.2,299.2,44.0,44.0
2026-09-14_1028,6,1023,4000,2026-08-15,62.0,44.0,1,62.0,0.0,62.0,6.2,68.2,18.0,18.0
2026-09-24_1029,41,1027,4000,2026-08-25,71.0,32.0,6,426.0,0.0,426.0,42.6,468.6,234.0,234.0
2026-09-24_1029,41,1042,4000,2026-08-25,59.0,31.0,5,295.0,0.0,295.0,29.5,324.5,140.0,140.0
2026-09-24_1029,41,1035,4000,2026-08-25,88.0,76.0,7,616.0,0.0,616.0,61.6,677.6,84.0,84.0
2026-09-15_1030,38,1002,4000,2026-08-16,52.0,33.0,7,364.0,0.0,364.0,36.4,400.4,133.0,133.0
2026-09-15_1030,38,1036,4000,2026-08-16,95.0,76.0,5,475.0,0.0,475.0,47.5,522.5,95.0,95.0
2026-09-15_1030,38,1068,4000,2026-08-16,86.0,72.0,1,86.0,0.0,86.0,8.6,94.6,14.0,14.0
2026-09-29_1031,43,1030,4000,2026-08-30,58.0,46.0,1,58.0,0.0,58.0,5.8,63.8,12.0,12.0
2026-09-29_1031,43,1037,4000,2026-08-30,90.0,55.0,6,540.0,0.0,540.0,54.0,594.0,210.0,210.0
2026-09-29_1031,43,1093,4000,2026-08-30,55.0,22.0,8,440.0,0.0,440.0,44.0,484.0,264.0,264.0
2026-09-12_1032,8,1028,4000,2026-08-13,53.0,27.0,6,318.0,0.0,318.0,31.8,349.8,156.0,156.0
2026-09-12_1032,8,1097,4000,2026-08-13,64.0,38.0,10,640.0,0.0,640.0,64.0,704.0,260.0,260.0
2026-09-12_1032,8,1062,4000,2026-08-13,60.0,47.0,3,180.0,0.0,180.0,18.0,198.0,39.0,39.0
2026-09-29_1033,31,1018,4000,2026-08-30,81.0,54.0,8,648.0,0.0,648.0,64.8,712.8,216.0,216.0
2026-09-29_1033,31,1068,4000,2026-08-30,86.0,72.0,3,258.0,0.0,258.0,25.8,283.8,42.0,42.0
2026-09-29_1033,31,1078,4000,2026-08-30,97.0,77.0,7,679.0,0.0,679.0,67.9,746.9,140.0,140.0
2026-09-24_1034,10,1003,4000,2026-08-25,84.0,66.0,8,672.0,0.0,672.0,67.2,739.2,144.0,144.0
2026-09-24_1034,10,1054,4000,2026-08-25,56.0,29.0,1,56.0,0.0,56.0,5.6,61.6,27.0,27.0
2026-09-24_1034,10,1096,4000,2026-08-25,51.0,39.0,7,357.0,0.0,357.0,35.7,392.7,84.0,84.0
2026-09-30_1035,49,1024,4000,2026-08-31,88.0,54.0,8,704.0,0.0,704.0,70.4,774.4,272.0,272.0
2026-09-30_1035,49,1084,4000,2026-08-31,77.0,45.0,5,385.0,0.0,385.0,38.5,423.5,160.0,160.0
2026-09-30_1035,49,1076,4000,2026-08-31,57.0,47.0,6,342.0,0.0,342.0,34.2,376.2,60.0,60.0
2026-09-30_1036,5,1015,4000,2026-08-31,56.0,28.0,5,280.0,0.0,280.0,28.0,308.0,140.0,140.0
2026-09-30_1036,5,1003,4000,2026-08-31,84.0,66.0,6,504.0,0.0,504.0,50.4,554.4,108.0,108.0
2026-09-30_1036,5,1004,4000,2026-08-31,93.0,67.0,3,279.0,0.0,279.0,27.9,306.9,78.0,78.0
2026-10-01_1037,36,1087,4000,2026-09-01,72.0,58.0,2,144.0,0.0,144.0,14.4,158.4,28.0,28.0
2026-10-01_1037,36,1085,4000,2026-09-01,83.0,46.0,1,83.0,0.0,83.0,8.3,91.3,37.0,37.0
2026-10-01_1037,36,1097,4000,2026-09-01,64.0,38.0,6,384.0,0.0,384.0,38.4,422.4,156.0,156.0
2026-09-06_1038,10,1094,4000,2026-08-07,82.0,72.0,5,410.0,0.0,410.0,41.0,451.0,50.0,50.0
2026-09-06_1038,10,1042,4000,2026-08-07,59.0,31.0,8,472.0,0.0,472.0,47.2,519.2,224.0,224.0
2026-09-06_1038,10,1092,4000,2026-08-07,51.0,14.0,5,255.0,0.0,255.0,25.5,280.5,185.0,185.0
2026-09-13_1039,6,1088,4000,2026-08-14,82.0,58.0,7,574.0,0.0,574.0,57.4,631.4,168.0,168.0
2026-09-13_1039,6,1009,4000,2026-08-14,60.0,30.0,7,420.0,0.0,420.0,42.0,462.0,210.0,210.0
2026-09-13_1039,6,1073,4000,2026-08-14,58.0,30.0,8,464.0,0.0,464.0,46.4,510.4,224.0,224.0
2026-09-13_1040,27,1054,4000,2026-08-14,56.0,29.0,7,392.0,0.0,392.0,39.2,431.2,189.0,189.0
2026-09-13_1040,27,1047,4000,2026-08-14,85.0,74.0,2,170.0,0.0,170.0,17.0,187.0,22.0,22.0
2026-09-13_1040,27,1076,4000,2026-08-14,57.0,47.0,7,399.0,0.0,399.0,39.9,438.9,70.0,70.0
2026-09-07_1041,22,1013,4000,2026-08-08,79.0,40.0,1,79.0,0.0,79.0,7.9,86.9,39.0,39.0
2026-09-07_1041,22,1013,4000,2026-08-08,79.0,40.0,10,790.0,0.0,790.0,79.0,869.0,390.0,390.0
2026-09-07_1041,22,1089,4000,2026-08-08,53.0,15.0,4,212.0,0.0,212.0,21.2,233.2,152.0,152.0
2026-09-24_1042,36,1026,4000,2026-08-25,87.0,69.0,8,696.0,0.0,696.0,69.6,765.6,144.0,144.0
2026-09-24_1042,36,1010,4000,2026-08-25,82.0,58.0,5,410.0,0.0,410.0,41.0,451.0,120.0,120.0
2026-09-24_1042,36,1037,4000,2026-08-25,90.0,55.0,1,90.0,0.0,90.0,9.0,99.0,35.0,35.0
2026-09-22_1043,8,1020,4000,2026-08-23,74.0,37.0,2,148.0,0.0,148.0,14.8,162.8,74.0,74.0
2026-09-22_1043,8,1067,4000,2026-08-23,71.0,56.0,8,568.0,0.0,568.0,56.8,624.8,120.0,120.0
2026-09-22_1043,8,1081,4000,2026-08-23,81.0,56.0,2,162.0,0.0,162.0,16.2,178.2,50.0,50.0
2026-09-10_1044,33,1012,4000,2026-08-11,89.0,57.0,9,801.0,0.0,801.0,80.1,881.1,288.0,288.0
2026-09-10_1044,33,1057,4000,2026-08-11,65.0,39.0,8,520.0,0.0,520.0,52.0,572.0,208.0,208.0
2026-09-10_1044,33,1083,4000,2026-08-11,81.0,44.0,8,648.0,0.0,648.0,64.8,712.8,296.0,296.0
2026-09-11_1045,34,1082,4000,2026-08-12,77.0,60.0,9,693.0,0.0,693.0,69.3,762.3,153.0,153.0
2026-09-11_1045,34,1097,4000,2026-08-12,64.0,38.0,1,64.0,0.0,64.0,6.4,70.4,26.0,26.0
2026-09-11_1045,34,1069,4000,2026-08-12,55.0,37.0,7,385.0,0.0,385.0,38.5,423.5,126.0,126.0
2026-09-11_1046,37,1069,4000,2026-08-12,55.0,37.0,6,330.0,0.0,330.0,33.0,363.0,108.0,108.0
2026-09-11_1046,37,1018,4000,2026-08-12,81.0,54.0,5,405.0,0.0,405.0,40.5,445.5,135.0,135.0
2026-09-11_1046,37,1086,4000,2026-08-12,68.0,50.0,4,272.0,0.0,272.0,27.2,299.2,72.0,72.0
2026-09-17_1047,45,1086,4000,2026-08-18,68.0,50.0,9,612.0,0.0,612.0,61.2,673.2,162.0,162.0
2026-09-17_1047,45,1044,4000,2026-08-18,83.0,49.0,5,415.0,0.0,415.0,41.5,456.5,170.0,170.0
2026-09-17_1047,45,1073,4000,2026-08-18,58.0,30.0,6,348.0,0.0,348.0,34.8,382.8,168.0,168.0
2026-09-06_1048,31,1020,4000,2026-08-07,74.0,37.0,8,592.0,0.0,592.0,59.2,651.2,296.0,296.0
2026-09-06_1048,31,1044,4000,2026-08-07,83.0,49.0,8,664.0,0.0,664.0,66.4,730.4,272.0,272.0
2026-09-06_1048,31,1010,4000,2026-08-07,82.0,58.0,9,738.0,0.0,738.0,73.8,811.8,216.0,216.0
2026-09-17_1049,38,1015,4000,2026-08-18,56.0,28.0,10,560.0,0.0,560.0,56.0,616.0,280.0,280.0
2026-09-17_1049,38,1006,4000,2026-08-18,71.0,46.0,1,71.0,0.0,71.0,7.1,78.1,25.0,25.0
2026-09-17_1049,38,1072,4000,2026-08-18,77.0,45.0,8,616.0,0.0,616.0,61.6,677.6,256.0,256.0
2026-09-15_1050,22,1097,4000,2026-08-16,64.0,38.0,6,384.0,0.0,384.0,38.4,422.4,156.0,156.0
2026-09-15_1050,22,1012,4000,2026-08-16,89.0,57.0,4,356.0,0.0,356.0,35.6,391.6,128.0,128.0
2026-09-15_1050,22,1043,4000,2026-08-16,92.0,71.0,6,552.0,0.0,552.0,55.2,607.2,126.0,126.0
2026-09-21_1051,47,1017,4000,2026-08-22,100.0,75.0,4,400.0,0.0,400.0,40.0,440.0,100.0,100.0
2026-09-21_1051,47,1086,4000,2026-08-22,68.0,50.0,7,476.0,0.0,476.0,47.6,523.6,126.0,126.0
2026-09-21_1051,47,1091,4000,2026-08-22,91.0,80.0,1,91.0,0.0,91.0,9.1,100.1,11.0,11.0
2026-09-08_1052,49,1077,4000,2026-08-09,84.0,62.0,7,588.0,29.4,558.6,55.86,614.46,124.6,124.6
2026-09-08_1052,49,1013,4000,2026-08-09,79.0,40.0,6,474.0,23.7,450.3,45.03,495.33,210.3,210.3
2026-09-12_1053,44,1029,4000,2026-08-13,82.0,61.0,3,246.0,12.3,233.7,23.37,257.07,50.7,50.7
2026-09-12_1053,44,1065,4000,2026-08-13,93.0,60.0,2,186.0,9.3,176.7,17.67,194.37,56.7,56.7
2026-09-21_1054,45,1000,4000,2026-08-22,70.0,46.0,10,700.0,35.0,665.0,66.5,731.5,205.0,205.0
2026-09-21_1054,45,1043,4000,2026-08-22,92.0,71.0,5,460.0,23.0,437.0,43.7,480.7,82.0,82.0
2026-09-11_1055,35,1048,4000,2026-08-12,55.0,37.0,7,385.0,19.25,365.75,36.58,402.33,106.75,106.75
2026-09-11_1055,35,1074,4000,2026-08-12,88.0,74.0,10,880.0,44.0,836.0,83.6,919.6,96.0,96.0
2026-10-02_1056,39,1099,4000,2026-09-02,77.0,60.0,3,231.0,11.55,219.45,21.95,241.4,39.45,39.45
2026-10-02_1056,39,1034,4000,2026-09-02,50.0,17.0,10,500.0,25.0,475.0,47.5,522.5,305.0,305.0
2026-09-16_1057,7,1073,4000,2026-08-17,58.0,30.0,7,406.0,20.3,385.7,38.57,424.27,175.7,175.7
2026-09-16_1057,7,1008,4000,2026-08-17,70.0,39.0,3,210.0,10.5,199.5,19.95,219.45,82.5,82.5
2026-09-08_1058,12,1077,4000,2026-08-09,84.0,62.0,9,756.0,37.8,718.2,71.82,790.02,160.2,160.2
2026-09-08_1058,12,1081,4000,2026-08-09,81.0,56.0,7,567.0,28.35,538.65,53.87,592.52,146.65,146.65
2026-09-06_1059,19,1011,4000,2026-08-07,82.0,69.0,1,82.0,4.1,77.9,7.79,85.69,8.9,8.9
2026-09-06_1059,19,1044,4000,2026-08-07,83.0,49.0,9,747.0,37.35,709.65,70.97,780.62,268.65,268.65
2026-09-24_1060,46,1076,4000,2026-08-25,57.0,47.0,7,399.0,19.95,379.05,37.91,416.96,50.05,50.05
2026-09-24_1060,46,1096,4000,2026-08-25,51.0,39.0,4,204.0,10.2,193.8,19.38,213.18,37.8,37.8
2026-10-01_1061,16,1034,4000,2026-09-01,50.0,17.0,8,400.0,20.0,380.0,38.0,418.0,244.0,244.0
2026-10-01_1061,16,1097,4000,2026-09-01,64.0,38.0,5,320.0,16.0,304.0,30.4,334.4,114.0,114.0
2026-09-23_1062,47,1086,4000,2026-08-24,68.0,50.0,8,544.0,27.2,516.8,51.68,568.48,116.8,116.8
2026-09-23_1062,47,1054,4000,2026-08-24,56.0,29.0,6,336.0,16.8,319.2,31.92,351.12,145.2,145.2
2026-10-03_1063,10,1078,4000,2026-09-03,97.0,77.0,1,97.0,4.85,92.15,9.22,101.37,15.15,15.15
2026-10-03_1063,10,1089,4000,2026-09-03,53.0,15.0,8,424.0,21.2,402.8,40.28,443.08,282.8,282.8
2026-09-11_1064,19,1016,4000,2026-08-12,65.0,30.0,9,585.0,29.25,555.75,55.58,611.33,285.75,285.75
2026-09-11_1064,19,1083,4000,2026-08-12,81.0,44.0,6,486.0,24.3,461.7,46.17,507.87,197.7,197.7
2026-09-30_1065,13,1032,4000,2026-08-31,51.0,31.0,8,408.0,20.4,387.6,38.76,426.36,139.6,139.6
2026-09-30_1065,13,1024,4000,2026-08-31,88.0,54.0,8,704.0,35.2,668.8,66.88,735.68,236.8,236.8
2026-09-09_1066,49,1059,4000,2026-08-10,62.0,51.0,10,620.0,31.0,589.0,58.9,647.9,79.0,79.0
2026-09-09_1066,49,1083,4000,2026-08-10,81.0,44.0,3,243.0,12.15,230.85,23.09,253.94,98.85,98.85
2026-09-09_1067,29,1065,4000,2026-08-10,93.0,60.0,6,558.0,27.9,530.1,53.01,583.11,170.1,170.1
2026-09-09_1067,29,1039,4000,2026-08-10,89.0,52.0,10,890.0,44.5,845.5,84.55,930.05,325.5,325.5
2026-09-12_1068,49,1052,4000,2026-08-13,89.0,77.0,6,534.0,26.7,507.3,50.73,558.03,45.3,45.3
2026-09-12_1068,49,1082,4000,2026-08-13,77.0,60.0,9,693.0,34.65,658.35,65.84,724.19,118.35,118.35
2026-09-29_1069,10,1079,4000,2026-08-30,64.0,39.0,6,384.0,19.2,364.8,36.48,401.28,130.8,130.8
2026-09-29_1069,10,1099,4000,2026-08-30,77.0,60.0,10,770.0,38.5,731.5,73.15,804.65,131.5,131.5
2026-09-16_1070,33,1046,4000,2026-08-17,92.0,72.0,4,368.0,18.4,349.6,34.96,384.56,61.6,61.6
2026-09-16_1070,33,1042,4000,2026-08-17,59.0,31.0,4,236.0,11.8,224.2,22.42,246.62,100.2,100.2
2026-09-27_1071,39,1049,4000,2026-08-28,75.0,54.0,8,600.0,30.0,570.0,57.0,627.0,138.0,138.0
2026-09-27_1071,39,1043,4000,2026-08-28,92.0,71.0,9,828.0,41.4,786.6,78.66,865.26,147.6,147.6
2026-10-03_1072,1,1034,4000,2026-09-03,50.0,17.0,5,250.0,12.5,237.5,23.75,261.25,152.5,152.5
2026-10-03_1072,1,1009,4000,2026-09-03,60.0,30.0,4,240.0,12.0,228.0,22.8,250.8,108.0,108.0
2026-09-11_1073,38,1090,4000,2026-08-12,61.0,45.0,10,610.0,30.5,579.5,57.95,637.45,129.5,129.5
2026-09-11_1073,38,1013,4000,2026-08-12,79.0,40.0,9,711.0,35.55,675.45,67.55,743.0,315.45,315.45
2026-09-13_1074,28,1030,4000,2026-08-14,58.0,46.0,6,348.0,17.4,330.6,33.06,363.66,54.6,54.6
2026-09-13_1074,28,1043,4000,2026-08-14,92.0,71.0,3,276.0,13.8,262.2,26.22,288.42,49.2,49.2
2026-09-12_1075,26,1041,4000,2026-08-13,82.0,49.0,1,82.0,4.1,77.9,7.79,85.69,28.9,28.9
2026-09-12_1075,26,1012,4000,2026-08-13,89.0,57.0,4,356.0,17.8,338.2,33.82,372.02,110.2,110.2
2026-09-23_1076,32,1039,4000,2026-08-24,89.0,52.0,4,356.0,17.8,338.2,33.82,372.02,130.2,130.2
2026-09-23_1076,32,1061,4000,2026-08-24,67.0,30.0,2,134.0,6.7,127.3,12.73,140.03,67.3,67.3
2026-09-27_1077,20,1031,4000,2026-08-28,62.0,50.0,3,186.0,9.3,176.7,17.67,194.37,26.7,26.7
2026-09-27_1077,20,1056,4000,2026-08-28,57.0,47.0,8,456.0,22.8,433.2,43.32,476.52,57.2,57.2
2026-09-18_1078,35,1087,4000,2026-08-19,72.0,58.0,1,72.0,3.6,68.4,6.84,75.24,10.4,10.4
2026-09-18_1078,35,1008,4000,2026-08-19,70.0,39.0,3,210.0,10.5,199.5,19.95,219.45,82.5,82.5
2026-09-07_1079,36,1028,4000,2026-08-08,53.0,27.0,3,159.0,7.95,151.05,15.11,166.16,70.05,70.05
2026-09-07_1079,36,1015,4000,2026-08-08,56.0,28.0,10,560.0,28.0,532.0,53.2,585.2,252.0,252.0
2026-09-10_1080,15,1002,4000,2026-08-11,52.0,33.0,4,208.0,10.4,197.6,19.76,217.36,65.6,65.6
2026-09-10_1080,15,1064,4000,2026-08-11,67.0,34.0,3,201.0,10.05,190.95,19.1,210.05,88.95,88.95
2026-09-28_1081,21,1046,4000,2026-08-29,92.0,72.0,1,92.0,4.6,87.4,8.74,96.14,15.4,15.4
2026-09-28_1081,21,1086,4000,2026-08-29,68.0,50.0,8,544.0,27.2,516.8,51.68,568.48,116.8,116.8
2026-09-23_1082,48,1016,4000,2026-08-24,65.0,30.0,10,650.0,32.5,617.5,61.75,679.25,317.5,317.5
2026-09-23_1082,48,1074,4000,2026-08-24,88.0,74.0,7,616.0,30.8,585.2,58.52,643.72,67.2,67.2
2026-09-15_1083,17,1035,4000,2026-08-16,88.0,76.0,8,704.0,35.2,668.8,66.88,735.68,60.8,60.8
2026-09-15_1083,17,1036,4000,2026-08-16,95.0,76.0,6,570.0,28.5,541.5,54.15,595.65,85.5,85.5
2026-09-11_1084,5,1099,4000,2026-08-12,77.0,60.0,8,616.0,30.8,585.2,58.52,643.72,105.2,105.2
2026-09-11_1084,5,1016,4000,2026-08-12,65.0,30.0,8,520.0,26.0,494.0,49.4,543.4,254.0,254.0
