transaction,account_key,client_key,journal_date_key,debit_amount,credit_amount,source
Invoice - 2026-09-11_1095 ,Account Receivables,4000,2026-08-12,631.18, ,CSV_Import
Invoice - 2026-09-30_1096 ,Account Receivables,4000,2026-08-31,413.82, ,CSV_Import
Invoice - 2026-09-16_1097 ,Account Receivables,4000,2026-08-17,627.0, ,CSV_Import
Invoice - 2026-09-19_1098 ,Account Receivables,4000,2026-08-20,814.06, ,CSV_Import
Invoice - 2026-09-26_1099 ,Account Receivables,4000,2026-08-27,470.25, ,CSV_Import
Invoice - 2026-09-11_1100 ,Account Receivables,4000,2026-08-12,1353.28, ,CSV_Import
Invoice - 2026-09-10_1101 ,Account Receivables,4000,2026-08-11,638.5, ,CSV_Import
Invoice - 2026-09-27_1102 ,Account Receivables,4000,2026-08-28,830.78, ,CSV_Import
Invoice - 2026-09-14_1103 ,Account Receivables,4000,2026-08-15,635.36, ,CSV_Import
Invoice - 2026-09-10_1104 ,Account Receivables,4000,2026-08-11,822.42, ,CSV_Import
Invoice - 2026-09-09_1105 ,Account Receivables,4000,2026-08-10,1108.75, ,CSV_Import
Invoice - 2026-10-01_1106 ,Account Receivables,4000,2026-09-01,837.05, ,CSV_Import
Invoice - 2026-09-30_1107 ,Account Receivables,4000,2026-08-31,747.18, ,CSV_Import
Invoice - 2026-09-07_1108 ,Account Receivables,4000,2026-08-08,1280.13, ,CSV_Import
Invoice - 2026-09-06_1109 ,Account Receivables,4000,2026-08-07,355.3, ,CSV_Import
Invoice - 2026-10-03_1110 ,Account Receivables,4000,2026-09-03,543.4, ,CSV_Import
Invoice - 2026-10-02_1111 ,Account Receivables,4000,2026-09-02,952.0, ,CSV_Import
Invoice - 2026-09-22_1112 ,Account Receivables,4000,2026-08-23,616.55, ,CSV_Import
Invoice - 2026-09-19_1113 ,Account Receivables,4000,2026-08-20,751.36, ,CSV_Import
Invoice - 2026-09-22_1114 ,Account Receivables,4000,2026-08-23,768.08, ,CSV_Import
Invoice - 2026-09-24_1115 ,Account Receivables,4000,2026-08-25,675.07, ,CSV_Import
Invoice - 2026-09-12_1116 ,Account Receivables,4000,2026-08-13,844.36, ,CSV_Import
Invoice - 2026-10-02_1117 ,Account Receivables,4000,2026-09-02,935.28, ,CSV_Import
Invoice - 2026-09-30_1118 ,Account Receivables,4000,2026-08-31,272.75, ,CSV_Import
Invoice - 2026-09-07_1119 ,Account Receivables,4000,2026-08-08,1201.75, ,CSV_Import
Invoice - 2026-09-11_1120 ,Account Receivables,4000,2026-08-12,952.0, ,CSV_Import
Invoice - 2026-09-10_1121 ,Account Receivables,4000,2026-08-11,784.8, ,CSV_Import
Invoice - 2026-09-22_1122 ,Account Receivables,4000,2026-08-23,1076.35, ,CSV_Import
Invoice - 2026-09-11_1123 ,Account Receivables,4000,2026-08-12,599.83, ,CSV_Import
Invoice - 2026-09-27_1124 ,Account Receivables,4000,2026-08-28,525.64, ,CSV_Import
Invoice - 2026-09-26_1125 ,Account Receivables,4000,2026-08-27,1081.58, ,CSV_Import
Invoice - 2026-09-14_1126 ,Account Receivables,4000,2026-08-15,660.44, ,CSV_Import
Invoice - 2026-10-02_1127 ,Account Receivables,4000,2026-09-02,886.16, ,CSV_Import
Invoice - 2026-09-29_1128 ,Account Receivables,4000,2026-08-30,1327.15, ,CSV_Import
Invoice - 2026-09-30_1129 ,Account Receivables,4000,2026-08-31,1066.95, ,CSV_Import
Invoice - 2026-10-01_1130 ,Account Receivables,4000,2026-09-01,549.67, ,CSV_Import
Invoice - 2026-09-29_1131 ,Account Receivables,4000,2026-08-30,1182.94, ,CSV_Import
Invoice - 2026-09-23_1132 ,Account Receivables,4000,2026-08-24,758.67, ,CSV_Import
Invoice - 2026-10-02_1133 ,Account Receivables,4000,2026-09-02,479.66, ,CSV_Import
Invoice - 2026-09-24_1134 ,Account Receivables,4000,2026-08-25,725.23, ,CSV_Import
Invoice - 2026-09-29_1135 ,Account Receivables,4000,2026-08-30,1311.48, ,CSV_Import
Invoice - 2026-09-28_1136 ,Account Receivables,4000,2026-08-29,865.26, ,CSV_Import
Invoice - 2026-09-22_1137 ,Account Receivables,4000,2026-08-23,749.27, ,CSV_Import
Invoice - 2026-09-18_1138 ,Account Receivables,4000,2026-08-19,817.19, ,CSV_Import
Invoice - 2026-09-22_1139 ,Account Receivables,4000,2026-08-23,1045.0, ,CSV_Import
Invoice - 2026-09-21_1140 ,Account Receivables,4000,2026-08-22,1067.99, ,CSV_Import
Invoice - 2026-09-19_1141 ,Account Receivables,4000,2026-08-20,532.95, ,CSV_Import
Invoice - 2026-09-18_1142 ,Account Receivables,4000,2026-08-19,542.36, ,CSV_Import
Invoice - 2026-09-18_1143 ,Account Receivables,4000,2026-08-19,819.28, ,CSV_Import
Invoice - 2026-09-29_1144 ,Account Receivables,4000,2026-08-30,407.55, ,CSV_Import
Invoice - 2026-09-05_1145 ,Account Receivables,4000,2026-08-06,890.34, ,CSV_Import
Invoice - 2026-09-19_1146 ,Account Receivables,4000,2026-08-20,845.41, ,CSV_Import
Invoice - 2026-10-02_1147 ,Account Receivables,4000,2026-09-02,1371.04, ,CSV_Import
Invoice - 2026-09-22_1148 ,Account Receivables,4000,2026-08-23,1314.61, ,CSV_Import
Invoice - 2026-09-27_1149 ,Account Receivables,4000,2026-08-28,1391.94, ,CSV_Import
Invoice - 2026-09-27_1150 ,Account Receivables,4000,2026-08-28,699.11, ,CSV_Import
Invoice - 2026-09-09_1151 ,Account Receivables,4000,2026-08-10,532.95, ,CSV_Import
Invoice - 2026-09-21_1152 ,Account Receivables,4000,2026-08-22,964.54, ,CSV_Import
Invoice - 2026-09-23_1153 ,Account Receivables,4000,2026-08-24,981.26, ,CSV_Import
Invoice - 2026-09-25_1154 ,Account Receivables,4000,2026-08-26,883.03, ,CSV_Import
Invoice - 2026-09-29_1155 ,Account Receivables,4000,2026-08-30,1092.03, ,CSV_Import
Invoice - 2026-09-05_1156 ,Account Receivables,4000,2026-08-06,948.86, ,CSV_Import
Invoice - 2026-09-20_1157 ,Account Receivables,4000,2026-08-21,699.11, ,CSV_Import
Invoice - 2026-09-12_1158 ,Account Receivables,4000,2026-08-13,627.0, ,CSV_Import
Invoice - 2026-10-01_1159 ,Account Receivables,4000,2026-09-01,547.58, ,CSV_Import
Invoice - 2026-09-07_1160 ,Account Receivables,4000,2026-08-08,971.85, ,CSV_Import
Invoice - 2026-09-22_1161 ,Account Receivables,4000,2026-08-23,509.96, ,CSV_Import
Invoice - 2026-09-19_1162 ,Account Receivables,4000,2026-08-20,537.13, ,CSV_Import
Invoice - 2026-10-03_1163 ,Account Receivables,4000,2026-09-03,1099.34, ,CSV_Import
Invoice - 2026-09-13_1164 ,Account Receivables,4000,2026-08-14,625.96, ,CSV_Import
Invoice - 2026-09-20_1165 ,Account Receivables,4000,2026-08-21,585.2, ,CSV_Import
Invoice - 2026-09-06_1166 ,Account Receivables,4000,2026-08-07,807.79, ,CSV_Import
Invoice - 2026-09-14_1167 ,Account Receivables,4000,2026-08-15,437.86, ,CSV_Import
Invoice - 2026-09-15_1168 ,Account Receivables,4000,2026-08-16,1174.58, ,CSV_Import
Invoice - 2026-09-06_1169 ,Account Receivables,4000,2026-08-07,862.13, ,CSV_Import
Invoice - 2026-09-09_1170 ,Account Receivables,4000,2026-08-10,704.33, ,CSV_Import
Invoice - 2026-09-24_1171 ,Account Receivables,4000,2026-08-25,644.77, ,CSV_Import
Invoice - 2026-09-21_1172 ,Account Receivables,4000,2026-08-22,657.31, ,CSV_Import
Invoice - 2026-09-13_1173 ,Account Receivables,4000,2026-08-14,885.12, ,CSV_Import
Invoice - 2026-09-13_1174 ,Account Receivables,4000,2026-08-14,1559.14, ,CSV_Import
Invoice - 2026-09-06_1175 ,Account Receivables,4000,2026-08-07,1199.66, ,CSV_Import
Invoice - 2026-09-20_1176 ,Account Receivables,4000,2026-08-21,739.86, ,CSV_Import
Invoice - 2026-09-28_1177 ,Account Receivables,4000,2026-08-29,1015.74, ,CSV_Import
Invoice - 2026-09-05_1178 ,Account Receivables,4000,2026-08-06,536.09, ,CSV_Import
Invoice - 2026-09-18_1179 ,Account Receivables,4000,2026-08-19,373.07, ,CSV_Import
Invoice - 2026-09-17_1180 ,Account Receivables,4000,2026-08-18,644.77, ,CSV_Import
Invoice - 2026-09-14_1181 ,Account Receivables,4000,2026-08-15,881.98, ,CSV_Import
Invoice - 2026-09-12_1182 ,Account Receivables,4000,2026-08-13,909.15, ,CSV_Import
Invoice - 2026-09-25_1183 ,Account Receivables,4000,2026-08-26,1051.27, ,CSV_Import
Invoice - 2026-09-26_1184 ,Account Receivables,4000,2026-08-27,609.24, ,CSV_Import
Invoice - 2026-09-07_1185 ,Account Receivables,4000,2026-08-08,364.71, ,CSV_Import
Invoice - 2026-09-29_1186 ,Account Receivables,4000,2026-08-30,1103.52, ,CSV_Import
Invoice - 2026-10-03_1187 ,Account Receivables,4000,2026-09-03,250.8, ,CSV_Import
Invoice - 2026-09-29_1188 ,Account Receivables,4000,2026-08-30,820.33, ,CSV_Import
Invoice - 2026-09-28_1189 ,Account Receivables,4000,2026-08-29,313.5, ,CSV_Import
Invoice - 2026-09-10_1190 ,Account Receivables,4000,2026-08-11,299.92, ,CSV_Import
Invoice - 2026-09-25_1191 ,Account Receivables,4000,2026-08-26,829.73, ,CSV_Import
Invoice - 2026-09-21_1192 ,Account Receivables,4000,2026-08-22,476.52, ,CSV_Import
Invoice - 2026-09-11_1193 ,Account Receivables,4000,2026-08-12,611.33, ,CSV_Import
Invoice - 2026-09-17_1194 ,Account Receivables,4000,2026-08-18,1095.16, ,CSV_Import
Invoice - 2026-09-18_1195 ,Account Receivables,4000,2026-08-19,126.45, ,CSV_Import
Invoice - 2026-10-03_1196 ,Account Receivables,4000,2026-09-03,367.84, ,CSV_Import
Invoice - 2026-09-08_1197 ,Account Receivables,4000,2026-08-09,1042.91, ,CSV_Import
Invoice - 2026-09-29_1198 ,Account Receivables,4000,2026-08-30,1061.72, ,CSV_Import
Invoice - 2026-09-25_1199 ,Account Receivables,4000,2026-08-26,282.15, ,CSV_Import
Invoice - 2026-09-19_1200 ,Account Receivables,4000,2026-08-20,769.12, ,CSV_Import
Invoice - 2026-09-24_1201 ,Account Receivables,4000,2026-08-25,1231.01, ,CSV_Import
Invoice - 2026-09-09_1202 ,Account Receivables,4000,2026-08-10,526.68, ,CSV_Import
Invoice - 2026-09-21_1203 ,Account Receivables,4000,2026-08-22,1389.96, ,CSV_Import
Invoice - 2026-09-26_1204 ,Account Receivables,4000,2026-08-27,1405.8, ,CSV_Import
Invoice - 2026-09-26_1205 ,Account Receivables,4000,2026-08-27,448.47, ,CSV_Import
Invoice - 2026-09-29_1206 ,Account Receivables,4000,2026-08-30,1260.27, ,CSV_Import
Invoice - 2026-10-02_1207 ,Account Receivables,4000,2026-09-02,1251.36, ,CSV_Import
Invoice - 2026-09-05_1208 ,Account Receivables,4000,2026-08-06,1063.26, ,CSV_Import
Invoice - 2026-09-22_1209 ,Account Receivables,4000,2026-08-23,811.8, ,CSV_Import
Invoice - 2026-09-16_1210 ,Account Receivables,4000,2026-08-17,1024.65, ,CSV_Import
Invoice - 2026-09-06_1211 ,Account Receivables,4000,2026-08-07,919.71, ,CSV_Import
Invoice - 2026-09-11_1212 ,Account Receivables,4000,2026-08-12,1031.58, ,CSV_Import
Invoice - 2026-09-18_1213 ,Account Receivables,4000,2026-08-19,1123.65, ,CSV_Import
Invoice - 2026-09-24_1214 ,Account Receivables,4000,2026-08-25,1693.89, ,CSV_Import
Invoice - 2026-09-28_1215 ,Account Receivables,4000,2026-08-29,1396.89, ,CSV_Import
Invoice - 2026-09-23_1216 ,Account Receivables,4000,2026-08-24,1981.98, ,CSV_Import
Invoice - 2026-09-18_1217 ,Account Receivables,4000,2026-08-19,1225.62, ,CSV_Import
Invoice - 2026-09-24_1218 ,Account Receivables,4000,2026-08-25,1075.14, ,CSV_Import
Invoice - 2026-09-24_1219 ,Account Receivables,4000,2026-08-25,1163.25, ,CSV_Import
Invoice - 2026-09-12_1220 ,Account Receivables,4000,2026-08-13,828.63, ,CSV_Import
Invoice - 2026-09-23_1221 ,Account Receivables,4000,2026-08-24,1664.19, ,CSV_Import
Invoice - 2026-09-21_1222 ,Account Receivables,4000,2026-08-22,482.13, ,CSV_Import
Invoice - 2026-09-23_1223 ,Account Receivables,4000,2026-08-24,1465.2, ,CSV_Import
Invoice - 2026-09-22_1224 ,Account Receivables,4000,2026-08-23,1434.51, ,CSV_Import
Invoice - 2026-10-03_1225 ,Account Receivables,4000,2026-09-03,1379.07, ,CSV_Import
Invoice - 2026-09-13_1226 ,Account Receivables,4000,2026-08-14,1492.92, ,CSV_Import
Invoice - 2026-09-23_1227 ,Account Receivables,4000,2026-08-24,917.73, ,CSV_Import
Invoice - 2026-09-27_1228 ,Account Receivables,4000,2026-08-28,1731.51, ,CSV_Import
Invoice - 2026-09-19_1229 ,Account Receivables,4000,2026-08-20,738.54, ,CSV_Import
Invoice - 2026-09-25_1230 ,Account Receivables,4000,2026-08-26,1024.65, ,CSV_Import
Invoice - 2026-09-21_1231 ,Account Receivables,4000,2026-08-22,2076.03, ,CSV_Import
Invoice - 2026-09-09_1232 ,Account Receivables,4000,2026-08-10,1279.08, ,CSV_Import
Invoice - 2026-09-12_1233 ,Account Receivables,4000,2026-08-13,685.08, ,CSV_Import
Invoice - 2026-09-28_1234 ,Account Receivables,4000,2026-08-29,1434.51, ,CSV_Import
Invoice - 2026-09-30_1235 ,Account Receivables,4000,2026-08-31,1808.73, ,CSV_Import
Invoice - 2026-09-22_1236 ,Account Receivables,4000,2026-08-23,1960.2, ,CSV_Import
Invoice - 2026-09-24_1237 ,Account Receivables,4000,2026-08-25,1141.47, ,CSV_Import
Invoice - 2026-10-03_1238 ,Account Receivables,4000,2026-09-03,1667.16, ,CSV_Import
Invoice - 2026-09-15_1239 ,Account Receivables,4000,2026-08-16,1769.13, ,CSV_Import
Invoice - 2026-09-15_1240 ,Account Receivables,4000,2026-08-16,1188.0, ,CSV_Import
Invoice - 2026-09-15_1241 ,Account Receivables,4000,2026-08-16,627.66, ,CSV_Import
Invoice - 2026-09-27_1242 ,Account Receivables,4000,2026-08-28,1245.42, ,CSV_Import
Invoice - 2026-09-25_1243 ,Account Receivables,4000,2026-08-26,557.37, ,CSV_Import
Invoice - 2026-09-07_1244 ,Account Receivables,4000,2026-08-08,466.29, ,CSV_Import
Invoice - 2026-09-30_1245 ,Account Receivables,4000,2026-08-31,1439.46, ,CSV_Import
Invoice - 2026-09-11_1246 ,Account Receivables,4000,2026-08-12,815.76, ,CSV_Import
Invoice - 2026-09-20_1247 ,Account Receivables,4000,2026-08-21,961.29, ,CSV_Import
Invoice - 2026-09-23_1248 ,Account Receivables,4000,2026-08-24,1249.38, ,CSV_Import
Invoice - 2026-09-17_1249 ,Account Receivables,4000,2026-08-18,1142.46, ,CSV_Import
Invoice - 2026-09-17_1250 ,Account Receivables,4000,2026-08-18,1367.19, ,CSV_Import
Invoice - 2026-09-14_1251 ,Account Receivables,4000,2026-08-15,840.51, ,CSV_Import
Invoice - 2026-09-07_1252 ,Account Receivables,4000,2026-08-08,791.01, ,CSV_Import
Invoice - 2026-09-08_1253 ,Account Receivables,4000,2026-08-09,1037.52, ,CSV_Import
Invoice - 2026-09-25_1254 ,Account Receivables,4000,2026-08-26,1453.32, ,CSV_Import
Invoice - 2026-09-26_1255 ,Account Receivables,4000,2026-08-27,1172.16, ,CSV_Import
Invoice - 2026-09-26_1256 ,Account Receivables,4000,2026-08-27,825.66, ,CSV_Import
Invoice - 2026-09-25_1257 ,Account Receivables,4000,2026-08-26,721.71, ,CSV_Import
Invoice - 2026-10-01_1258 ,Account Receivables,4000,2026-09-01,308.88, ,CSV_Import
Invoice - 2026-09-15_1259 ,Account Receivables,4000,2026-08-16,939.51, ,CSV_Import
Invoice - 2026-10-02_1260 ,Account Receivables,4000,2026-09-02,1397.88, ,CSV_Import
Invoice - 2026-09-14_1261 ,Account Receivables,4000,2026-08-15,732.6, ,CSV_Import
Invoice - 2026-09-11_1262 ,Account Receivables,4000,2026-08-12,1577.07, ,CSV_Import
Invoice - 2026-09-17_1263 ,Account Receivables,4000,2026-08-18,1534.5, ,CSV_Import
Invoice - 2026-09-15_1264 ,Account Receivables,4000,2026-08-16,1055.34, ,CSV_Import
Invoice - 2026-09-11_1265 ,Account Receivables,4000,2026-08-12,1391.94, ,CSV_Import
Invoice - 2026-09-17_1266 ,Account Receivables,4000,2026-08-18,1363.23, ,CSV_Import
Invoice - 2026-09-05_1267 ,Account Receivables,4000,2026-08-06,892.98, ,CSV_Import
Invoice - 2026-09-17_1268 ,Account Receivables,4000,2026-08-18,1544.4, ,CSV_Import
Invoice - 2026-09-10_1269 ,Account Receivables,4000,2026-08-11,1118.7, ,CSV_Import
Invoice - 2026-09-07_1270 ,Account Receivables,4000,2026-08-08,1089.99, ,CSV_Import
Invoice - 2026-09-27_1271 ,Account Receivables,4000,2026-08-28,1251.36, ,CSV_Import
Invoice - 2026-09-11_1272 ,Account Receivables,4000,2026-08-12,1131.57, ,CSV_Import
Invoice - 2026-09-18_1273 ,Account Receivables,4000,2026-08-19,1431.54, ,CSV_Import
Invoice - 2026-09-09_1274 ,Account Receivables,4000,2026-08-10,1021.68, ,CSV_Import
Invoice - 2026-09-09_1275 ,Account Receivables,4000,2026-08-10,1274.13, ,CSV_Import
Invoice - 2026-10-02_1276 ,Account Receivables,4000,2026-09-02,1398.87, ,CSV_Import
Invoice - 2026-09-30_1277 ,Account Receivables,4000,2026-08-31,1190.97, ,CSV_Import
Invoice - 2026-09-24_1278 ,Account Receivables,4000,2026-08-25,1279.08, ,CSV_Import
Invoice - 2026-09-19_1279 ,Account Receivables,4000,2026-08-20,1365.21, ,CSV_Import
Invoice - 2026-09-09_1280 ,Account Receivables,4000,2026-08-10,1574.1, ,CSV_Import
Invoice - 2026-09-16_1281 ,Account Receivables,4000,2026-08-17,938.52, ,CSV_Import
Invoice - 2026-09-26_1282 ,Account Receivables,4000,2026-08-27,799.92, ,CSV_Import
Invoice - 2026-09-22_1283 ,Account Receivables,4000,2026-08-23,1150.38, ,CSV_Import
Invoice - 2026-10-02_1284 ,Account Receivables,4000,2026-09-02,1815.66, ,CSV_Import
Invoice - 2026-09-23_1285 ,Account Receivables,4000,2026-08-24,743.49, ,CSV_Import
Invoice - 2026-09-20_1286 ,Account Receivables,4000,2026-08-21,600.93, ,CSV_Import
Invoice - 2026-09-10_1287 ,Account Receivables,4000,2026-08-11,1465.2, ,CSV_Import
